iter	RMSE
0	0.3755500786
1	0.3643343355
2	0.3533916975
3	0.3429211965
4	0.3331372206
5	0.3235113896
6	0.3141551281
7	0.3058874018
8	0.2974299816
9	0.2890806475
10	0.2815959653
11	0.2741663898
12	0.2665080358
13	0.2591227947
14	0.2520527334
15	0.2457814412
16	0.2398246935
17	0.2336212321
18	0.2282598863
19	0.2232068504
20	0.2182854373
21	0.2141533404
22	0.209420633
23	0.2057776713
24	0.201642627
25	0.1977312453
26	0.1944263278
27	0.1909929751
28	0.1875012686
29	0.1844466133
30	0.1813473136
31	0.1782129925
32	0.1757127784
33	0.1730032492
34	0.1704146636
35	0.1680556244
36	0.1662317755
37	0.1641434935
38	0.1621470731
39	0.1601593588
40	0.158284143
41	0.1562333314
42	0.1545945578
43	0.1527789286
44	0.1513286771
45	0.1498982047
46	0.1484532856
47	0.1471007241
48	0.145644954
49	0.144470509
50	0.1433198021
51	0.1421519169
52	0.1409127055
53	0.1396615928
54	0.1386568981
55	0.1376587811
56	0.1367374999
57	0.1357633254
58	0.1349003355
59	0.1341369313
60	0.1332138323
61	0.1323239764
62	0.1314705457
63	0.1307568356
64	0.1300844306
65	0.1293985572
66	0.1287167078
67	0.1280582582
68	0.1273261126
69	0.1266522485
70	0.1258573626
71	0.1252166906
72	0.1246975897
73	0.1241840934
74	0.1236053059
75	0.1229529847
76	0.1224382522
77	0.1219994219
78	0.1216217658
79	0.1212285848
80	0.1208012771
81	0.12024789
82	0.1197757725
83	0.1192633985
84	0.1188578097
85	0.1184482953
86	0.1179836158
87	0.1175907867
88	0.1171724524
89	0.1167643229
90	0.1162595454
91	0.1158729349
92	0.1156028022
93	0.115265938
94	0.1148948198
95	0.1145938458
96	0.1142393661
97	0.1138450599
98	0.1135681912
99	0.1131509598
100	0.1128168267
101	0.1124861115
102	0.1121689385
103	0.1119016402
104	0.1116035629
105	0.1113514522
106	0.1110322963
107	0.1107116863
108	0.1103261795
109	0.1101606346
110	0.1098503256
111	0.1095864139
112	0.1092816281
113	0.108955049
114	0.1087943324
115	0.1086335663
116	0.108424754
117	0.1082043188
118	0.1079696268
119	0.107704552
120	0.1075395609
121	0.1073009849
122	0.1069028877
123	0.106592939
124	0.1063088214
125	0.1060545037
126	0.1057942398
127	0.1055457503
128	0.1052915474
129	0.1050479111
130	0.1048267522
131	0.104648569
132	0.1045682722
133	0.1043090354
134	0.1041028987
135	0.1039233566
136	0.1037130791
137	0.103537951
138	0.1033441709
139	0.103134543
140	0.1029028921
141	0.1027238673
142	0.102514561
143	0.1022601462
144	0.1020895817
145	0.1019235668
146	0.1017149066
147	0.1014807809
148	0.1012818157
149	0.1011507613
150	0.1010094779
151	0.1008513754
152	0.1006657804
153	0.100396136
154	0.1001865246
155	0.1000263576
156	0.09984745146
157	0.09968103417
158	0.0994826724
159	0.09937474263
160	0.099248449
161	0.09908713053
162	0.09892792244
163	0.09877051005
164	0.09866570273
165	0.09849349479
166	0.0984021363
167	0.09828108795
168	0.09806721885
169	0.09793144981
170	0.09778498264
171	0.09761384263
172	0.09745529088
173	0.097308277
174	0.09710538034
175	0.09694733589
176	0.09679936897
177	0.09662613884
178	0.09649922577
179	0.0963653746
180	0.09623297505
181	0.09612449469
182	0.09599882295
183	0.09578091625
184	0.0957220392
185	0.09561190388
186	0.09548411962
187	0.09535721455
188	0.09525020504
189	0.09517377674
190	0.0949974892
191	0.0948873311
192	0.09477175802
193	0.0946258545
194	0.0944760837
195	0.09427318055
196	0.09417771117
197	0.09403357209
198	0.09390391651
199	0.09378986056
200	0.09365878588
201	0.09352832592
202	0.09335422528
203	0.09323365342
204	0.09316596985
205	0.09311426821
206	0.09301111583
207	0.09290453741
208	0.09279283467
209	0.09267858563
210	0.09263958715
211	0.09260092476
212	0.09249731891
213	0.09246038492
214	0.09231626103
215	0.09217478164
216	0.09213543461
217	0.09207320254
218	0.09199819592
219	0.0919051689
220	0.0917740725
221	0.09161017012
222	0.09149267337
223	0.09130359846
224	0.0911576534
225	0.09098144508
226	0.09091866326
227	0.0908625535
228	0.0907839722
229	0.09075160876
230	0.09064302486
231	0.09046688555
232	0.09041894133
233	0.09031666068
234	0.09022223499
235	0.09005826358
236	0.08995809704
237	0.08982585326
238	0.08975707135
239	0.08963602291
240	0.08952859968
241	0.08941182908
242	0.08931543704
243	0.08920096453
244	0.08909562404
245	0.08902986117
246	0.08894290963
247	0.08887467293
248	0.0888169103
249	0.0887253863
250	0.08860106815
251	0.08851352385
252	0.08841826632
253	0.08837143863
254	0.08826383869
255	0.08811867764
256	0.08809682474
257	0.08798161192
258	0.08794841986
259	0.0878844312
260	0.08776691
261	0.08764036716
262	0.08754309508
263	0.0874957186
264	0.08742633615
265	0.08736298514
266	0.08731949038
267	0.08721539099
268	0.08709883608
269	0.08701822341
270	0.08696435313
271	0.08688061932
272	0.08678446026
273	0.08666789717
274	0.08663618504
275	0.08653366645
276	0.08650422342
277	0.08643535919
278	0.08627173111
279	0.08614627613
280	0.08605779336
281	0.08595020454
282	0.08579702159
283	0.08568510754
284	0.08562240947
285	0.08556124526
286	0.08544332031
287	0.08542153287
288	0.08532537945
289	0.0852150638
290	0.085085476
291	0.08503199521
292	0.08496550717
293	0.08493701725
294	0.08477601718
295	0.08472555907
296	0.08463200585
297	0.08452490468
298	0.08445784477
299	0.08436671415
300	0.08431269534
301	0.08419359546
302	0.08410488409
303	0.08402801121
304	0.08387116084
305	0.08377370309
306	0.08366748196
307	0.08355413941
308	0.08342075667
309	0.08337586378
310	0.08327400923
311	0.08315645474
312	0.08306176712
313	0.08296809376
314	0.08292720021
315	0.08282087251
316	0.08272947678
317	0.08263893051
318	0.08257253665
319	0.08254960249
320	0.0824613918
321	0.08237949298
322	0.08230016136
323	0.08224921636
324	0.08215646991
325	0.08205520569
326	0.08197753971
327	0.08188213604
328	0.08181092638
329	0.08171309297
330	0.08165750189
331	0.0815640029
332	0.08153942534
333	0.08147245356
334	0.08137003414
335	0.08131440694
336	0.08122782939
337	0.08118957717
338	0.08114343296
339	0.08106181029
340	0.08095642009
341	0.08084485995
342	0.08076251908
343	0.08067762075
344	0.08058990048
345	0.08055205329
346	0.08045162724
347	0.08036370496
348	0.08032226548
349	0.08021452653
350	0.08017925849
351	0.08006842694
352	0.08001972601
353	0.07995810246
354	0.07984419326
355	0.07976042195
356	0.07967055319
357	0.07962514539
358	0.0796043543
359	0.07953035602
360	0.07948650825
361	0.07945160094
362	0.07939688455
363	0.07937656512
364	0.0793019499
365	0.07921588957
366	0.07918508801
367	0.07912452479
368	0.07904833518
369	0.07895344176
370	0.07889514155
371	0.07881522599
372	0.07874888801
373	0.07868110802
374	0.07864359547
375	0.07858939134
376	0.07852277473
377	0.07846494086
378	0.0784060525
379	0.07837292185
380	0.07829459335
381	0.07827290114
382	0.07817499956
383	0.07808518573
384	0.07801976802
385	0.07800206131
386	0.07792574107
387	0.07785355844
388	0.07776195802
389	0.0776901385
390	0.07763676903
391	0.0775671806
392	0.07745038477
393	0.07734453616
394	0.07728032643
395	0.07721735498
396	0.07714960481
397	0.07711453421
398	0.07705321663
399	0.07698592826
400	0.07691797976
401	0.07684972505
402	0.07675028833
403	0.07666503852
404	0.07660218819
405	0.07656736033
406	0.07645419458
407	0.07642096767
408	0.07634620606
409	0.07626215603
410	0.07620129124
411	0.07610177251
412	0.07602061377
413	0.07593959797
414	0.07592234115
415	0.07588639777
416	0.07579297913
417	0.07574972831
418	0.07570895604
419	0.07563593829
420	0.07556439242
421	0.0754887916
422	0.07537740804
423	0.07530105744
424	0.0752312265
425	0.07513197755
426	0.07507430148
427	0.0749811103
428	0.07491903605
429	0.07486355832
430	0.07479620923
431	0.0747255065
432	0.07464809579
433	0.07456590552
434	0.07455693025
435	0.07444738142
436	0.07437692087
437	0.07427298083
438	0.074204133
439	0.07413466792
440	0.07404506669
441	0.07394709281
442	0.07388936806
443	0.07382492427
444	0.07376030739
445	0.07366565615
446	0.07364093721
447	0.07361918406
448	0.07358501304
449	0.07356528938
450	0.07355623469
451	0.07346098473
452	0.07344493656
453	0.07340559521
454	0.07337949866
455	0.07326034709
456	0.07318083323
457	0.07316949376
458	0.07311600358
459	0.0730484584
460	0.07298649166
461	0.07293308801
462	0.07286602363
463	0.07285405542
464	0.07282493488
465	0.07274029514
466	0.07270978044
467	0.0726743841
468	0.07260531787
469	0.07251998949
470	0.0724631024
471	0.07237987881
472	0.07233558586
473	0.07224499353
474	0.07215041784
